"","agegrp","cob","ethgrp","pop_EW","pop_E"
"1","Total: ","Total: Country of birth","Total: Ethnic group","56075912","53012456"
"2","Total: ","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","48209395","45281142"
"3","Total: ","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","2623816","2560699"
"4","Total: ","Total: Country of birth","Asian/Asian British: Indian","1412958","1395702"
"5","Total: ","Total: Country of birth","Asian/Asian British: Pakistani","1124511","1112282"
"6","Total: ","Total: Country of birth","Asian/Asian British: Bangladeshi","447201","436514"
"7","Total: ","Total: Country of birth","Asian/Asian British: Chinese","393141","379503"
"8","Total: ","Total: Country of birth","Black/African/Caribbean/Black British","1864890","1846614"
"9","Total: ","Born in UK or Rest of Europe","Total: Ethnic group","51319357","48350320"
"10","Total: ","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","47261771","44357907"
"11","Total: ","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","1523616","1486345"
"12","Total: ","Born in UK or Rest of Europe","Asian/Asian British: Indian","618439","613178"
"13","Total: ","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","643571","636839"
"14","Total: ","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","235799","230230"
"15","Total: ","Born in UK or Rest of Europe","Asian/Asian British: Chinese","101089","97400"
"16","Total: ","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","935072","928421"
"17","Total: ","Born outside the UK and Rest of Europe","Total: Ethnic group","4756555","4662136"
"18","Total: ","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","947624","923235"
"19","Total: ","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","1100200","1074354"
"20","Total: ","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","794519","782524"
"21","Total: ","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","480940","475443"
"22","Total: ","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","211402","206284"
"23","Total: ","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","292052","282103"
"24","Total: ","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","929818","918193"
"25"," 0 to 4","Total: Country of birth","Total: Ethnic group","3496750","3318449"
"26"," 0 to 4","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","2684720","2520522"
"27"," 0 to 4","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","336736","329163"
"28"," 0 to 4","Total: Country of birth","Asian/Asian British: Indian","99220","97651"
"29"," 0 to 4","Total: Country of birth","Asian/Asian British: Pakistani","129562","128254"
"30"," 0 to 4","Total: Country of birth","Asian/Asian British: Bangladeshi","51013","49751"
"31"," 0 to 4","Total: Country of birth","Asian/Asian British: Chinese","18650","17762"
"32"," 0 to 4","Total: Country of birth","Black/African/Caribbean/Black British","176849","175346"
"33"," 0 to 4","Born in UK or Rest of Europe","Total: Ethnic group","3442641","3266011"
"34"," 0 to 4","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","2671052","2507226"
"35"," 0 to 4","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","320192","313363"
"36"," 0 to 4","Born in UK or Rest of Europe","Asian/Asian British: Indian","88179","86916"
"37"," 0 to 4","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","125461","124209"
"38"," 0 to 4","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","50054","48818"
"39"," 0 to 4","Born in UK or Rest of Europe","Asian/Asian British: Chinese","17501","16652"
"40"," 0 to 4","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","170202","168827"
"41"," 0 to 4","Born outside the UK and Rest of Europe","Total: Ethnic group","54109","52438"
"42"," 0 to 4","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","13668","13296"
"43"," 0 to 4","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","16544","15800"
"44"," 0 to 4","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","11041","10735"
"45"," 0 to 4","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","4101","4045"
"46"," 0 to 4","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","959","933"
"47"," 0 to 4","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","1149","1110"
"48"," 0 to 4","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","6647","6519"
"49"," 5 to 14","Total: Country of birth","Total: Ethnic group","6394388","6053561"
"50"," 5 to 14","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","5097205","4777711"
"51"," 5 to 14","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","493170","481655"
"52"," 5 to 14","Total: Country of birth","Asian/Asian British: Indian","156672","154958"
"53"," 5 to 14","Total: Country of birth","Asian/Asian British: Pakistani","221822","219569"
"54"," 5 to 14","Total: Country of birth","Asian/Asian British: Bangladeshi","95804","93503"
"55"," 5 to 14","Total: Country of birth","Asian/Asian British: Chinese","27701","26623"
"56"," 5 to 14","Total: Country of birth","Black/African/Caribbean/Black British","302014","299542"
"57"," 5 to 14","Born in UK or Rest of Europe","Total: Ethnic group","6145215","5811118"
"58"," 5 to 14","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","5046840","4728761"
"59"," 5 to 14","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","416335","407606"
"60"," 5 to 14","Born in UK or Rest of Europe","Asian/Asian British: Indian","128852","127891"
"61"," 5 to 14","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","200850","198885"
"62"," 5 to 14","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","88840","86741"
"63"," 5 to 14","Born in UK or Rest of Europe","Asian/Asian British: Chinese","20445","19610"
"64"," 5 to 14","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","243053","241624"
"65"," 5 to 14","Born outside the UK and Rest of Europe","Total: Ethnic group","249173","242443"
"66"," 5 to 14","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","50365","48950"
"67"," 5 to 14","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","76835","74049"
"68"," 5 to 14","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","27820","27067"
"69"," 5 to 14","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","20972","20684"
"70"," 5 to 14","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","6964","6762"
"71"," 5 to 14","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","7256","7013"
"72"," 5 to 14","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","58961","57918"
"73"," 15 to 24","Total: Country of birth","Total: Ethnic group","7346630","6935586"
"74"," 15 to 24","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","6004874","5620645"
"75"," 15 to 24","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","465576","453557"
"76"," 15 to 24","Total: Country of birth","Asian/Asian British: Indian","202200","199119"
"77"," 15 to 24","Total: Country of birth","Asian/Asian British: Pakistani","191495","189374"
"78"," 15 to 24","Total: Country of birth","Asian/Asian British: Bangladeshi","82686","80715"
"79"," 15 to 24","Total: Country of birth","Asian/Asian British: Chinese","114258","109775"
"80"," 15 to 24","Total: Country of birth","Black/African/Caribbean/Black British","285541","282401"
"81"," 15 to 24","Born in UK or Rest of Europe","Total: Ethnic group","6753622","6358868"
"82"," 15 to 24","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","5916400","5535097"
"83"," 15 to 24","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","305621","298172"
"84"," 15 to 24","Born in UK or Rest of Europe","Asian/Asian British: Indian","143165","141924"
"85"," 15 to 24","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","143300","141788"
"86"," 15 to 24","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","58510","57111"
"87"," 15 to 24","Born in UK or Rest of Europe","Asian/Asian British: Chinese","26061","25212"
"88"," 15 to 24","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","160565","159564"
"89"," 15 to 24","Born outside the UK and Rest of Europe","Total: Ethnic group","593008","576718"
"90"," 15 to 24","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","88474","85548"
"91"," 15 to 24","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","159955","155385"
"92"," 15 to 24","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","59035","57195"
"93"," 15 to 24","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","48195","47586"
"94"," 15 to 24","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","24176","23604"
"95"," 15 to 24","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","88197","84563"
"96"," 15 to 24","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","124976","122837"
"97"," 25 to 29","Total: Country of birth","Total: Ethnic group","3836609","3650881"
"98"," 25 to 29","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","3076127","2903792"
"99"," 25 to 29","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","244408","238916"
"100"," 25 to 29","Total: Country of birth","Asian/Asian British: Indian","157943","155801"
"101"," 25 to 29","Total: Country of birth","Asian/Asian British: Pakistani","116169","115016"
"102"," 25 to 29","Total: Country of birth","Asian/Asian British: Bangladeshi","46879","45838"
"103"," 25 to 29","Total: Country of birth","Asian/Asian British: Chinese","48142","46598"
"104"," 25 to 29","Total: Country of birth","Black/African/Caribbean/Black British","146941","144920"
"105"," 25 to 29","Born in UK or Rest of Europe","Total: Ethnic group","3322919","3147698"
"106"," 25 to 29","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","2975098","2804804"
"107"," 25 to 29","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","120216","117539"
"108"," 25 to 29","Born in UK or Rest of Europe","Asian/Asian British: Indian","77544","77019"
"109"," 25 to 29","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","60364","59739"
"110"," 25 to 29","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","18617","18235"
"111"," 25 to 29","Born in UK or Rest of Europe","Asian/Asian British: Chinese","12372","12041"
"112"," 25 to 29","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","58708","58321"
"113"," 25 to 29","Born outside the UK and Rest of Europe","Total: Ethnic group","513690","503183"
"114"," 25 to 29","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","101029","98988"
"115"," 25 to 29","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","124192","121377"
"116"," 25 to 29","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","80399","78782"
"117"," 25 to 29","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","55805","55277"
"118"," 25 to 29","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","28262","27603"
"119"," 25 to 29","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","35770","34557"
"120"," 25 to 29","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","88233","86599"
"121"," 30 to 34","Total: Country of birth","Total: Ethnic group","3683915","3509221"
"122"," 30 to 34","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","2931879","2770274"
"123"," 30 to 34","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","237008","231481"
"124"," 30 to 34","Total: Country of birth","Asian/Asian British: Indian","158352","156271"
"125"," 30 to 34","Total: Country of birth","Asian/Asian British: Pakistani","114520","113299"
"126"," 30 to 34","Total: Country of birth","Asian/Asian British: Bangladeshi","45354","44265"
"127"," 30 to 34","Total: Country of birth","Asian/Asian British: Chinese","38572","37461"
"128"," 30 to 34","Total: Country of birth","Black/African/Caribbean/Black British","158230","156170"
"129"," 30 to 34","Born in UK or Rest of Europe","Total: Ethnic group","3102838","2939132"
"130"," 30 to 34","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","2820593","2660914"
"131"," 30 to 34","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","95715","93483"
"132"," 30 to 34","Born in UK or Rest of Europe","Asian/Asian British: Indian","66536","66142"
"133"," 30 to 34","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","49218","48666"
"134"," 30 to 34","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","10466","10268"
