"","CoB","ethgrp","age","population","sex","year"
"1","UK-born","White","0",245817,"M",2011
"2","UK-born","White","1",241358,"M",2011
"3","UK-born","White","2",237958,"M",2011
"4","UK-born","White","3",240493,"M",2011
"5","UK-born","White","4",236780,"M",2011
"6","UK-born","White","5",232107,"M",2011
"7","UK-born","White","6",223392,"M",2011
"8","UK-born","White","7",223515,"M",2011
"9","UK-born","White","8",217040,"M",2011
"10","UK-born","White","9",217807,"M",2011
"11","UK-born","White","10",225533,"M",2011
"12","UK-born","White","11",236136,"M",2011
"13","UK-born","White","12",243365,"M",2011
"14","UK-born","White","13",247773,"M",2011
"15","UK-born","White","14",254037,"M",2011
"16","UK-born","White","15",260362,"M",2011
"17","UK-born","White","16",259494,"M",2011
"18","UK-born","White","17",266381,"M",2011
"19","UK-born","White","18",266751,"M",2011
"20","UK-born","White","19",271521,"M",2011
"21","UK-born","White","20",280794,"M",2011
"22","UK-born","White","21",267651,"M",2011
"23","UK-born","White","22",261444,"M",2011
"24","UK-born","White","23",263343,"M",2011
"25","UK-born","White","24",249720,"M",2011
"26","UK-born","White","25",254144,"M",2011
"27","UK-born","White","26",247963,"M",2011
"28","UK-born","White","27",241188,"M",2011
"29","UK-born","White","28",237165,"M",2011
"30","UK-born","White","29",239389,"M",2011
"31","UK-born","White","30",244576,"M",2011
"32","UK-born","White","31",242313,"M",2011
"33","UK-born","White","32",229890,"M",2011
"34","UK-born","White","33",215615,"M",2011
"35","UK-born","White","34",218041,"M",2011
"36","UK-born","White","35",225482,"M",2011
"37","UK-born","White","36",238949,"M",2011
"38","UK-born","White","37",249164,"M",2011
"39","UK-born","White","38",268489,"M",2011
"40","UK-born","White","39",288085,"M",2011
"41","UK-born","White","40",293442,"M",2011
"42","UK-born","White","41",290768,"M",2011
"43","UK-born","White","42",301815,"M",2011
"44","UK-born","White","43",305424,"M",2011
"45","UK-born","White","44",316423,"M",2011
"46","UK-born","White","45",317128,"M",2011
"47","UK-born","White","46",322580,"M",2011
"48","UK-born","White","47",318213,"M",2011
"49","UK-born","White","48",314073,"M",2011
"50","UK-born","White","49",308855,"M",2011
"51","UK-born","White","50",299419,"M",2011
"52","UK-born","White","51",286446,"M",2011
"53","UK-born","White","52",284090,"M",2011
"54","UK-born","White","53",280303,"M",2011
"55","UK-born","White","54",268277,"M",2011
"56","UK-born","White","55",258968,"M",2011
"57","UK-born","White","56",254403,"M",2011
"58","UK-born","White","57",259251,"M",2011
"59","UK-born","White","58",252555,"M",2011
"60","UK-born","White","59",251466,"M",2011
"61","UK-born","White","60",254449,"M",2011
"62","UK-born","White","61",264597,"M",2011
"63","UK-born","White","62",274640,"M",2011
"64","UK-born","White","63",302451,"M",2011
"65","UK-born","White","64",307659,"M",2011
"66","UK-born","White","65",231915,"M",2011
"67","UK-born","White","66",246639,"M",2011
"68","UK-born","White","67",228129,"M",2011
"69","UK-born","White","68",213525,"M",2011
"70","UK-born","White","69",182744,"M",2011
"71","UK-born","White","70",173065,"M",2011
"72","UK-born","White","71",179876,"M",2011
"73","UK-born","White","72",176069,"M",2011
"74","UK-born","White","73",170024,"M",2011
"75","UK-born","White","74",161270,"M",2011
"76","UK-born","White","75",151502,"M",2011
"77","UK-born","White","76",143981,"M",2011
"78","UK-born","White","77",132536,"M",2011
"79","UK-born","White","78",127815,"M",2011
"80","UK-born","White","79",121436,"M",2011
"81","UK-born","White","80",115169,"M",2011
"82","UK-born","White","81",103549,"M",2011
"83","UK-born","White","82",93498,"M",2011
"84","UK-born","White","83",82641,"M",2011
"85","UK-born","White","84",75333,"M",2011
"86","UK-born","White","85-89",248949,"M",2011
