"","year","sex","age","ETH.group","CoB","timeinUK(0,1]","pop"
"1",2011,"M",0,"BAN","Non-UK born",FALSE,27
"2",2011,"M",0,"BAN","Non-UK born",TRUE,41
"3",2011,"M",0,"BAN","UK born",NA,4816
"4",2011,"M",0,"BLA+BLC+OBL","Non-UK born",FALSE,251
"5",2011,"M",0,"BLA+BLC+OBL","Non-UK born",TRUE,140
"6",2011,"M",0,"BLA+BLC+OBL","UK born",NA,16899
"7",2011,"M",0,"CHI+OAS","Non-UK born",FALSE,199
"8",2011,"M",0,"CHI+OAS","Non-UK born",TRUE,191
"9",2011,"M",0,"CHI+OAS","UK born",NA,8461
"10",2011,"M",0,"IND","Non-UK born",FALSE,78
"11",2011,"M",0,"IND","Non-UK born",TRUE,86
"12",2011,"M",0,"IND","UK born",NA,9830
"13",2011,"M",0,"MIX","Non-UK born",FALSE,44
"14",2011,"M",0,"MIX","Non-UK born",TRUE,70
"15",2011,"M",0,"MIX","UK born",NA,23036
"16",2011,"M",0,"OTH","Non-UK born",FALSE,113
"17",2011,"M",0,"OTH","Non-UK born",TRUE,105
"18",2011,"M",0,"OTH","UK born",NA,4901
"19",2011,"M",0,"PAK","Non-UK born",FALSE,63
"20",2011,"M",0,"PAK","Non-UK born",TRUE,89
"21",2011,"M",0,"PAK","UK born",NA,12235
"22",2011,"M",0,"WBI+WHO","Non-UK born",FALSE,268
"23",2011,"M",0,"WBI+WHO","Non-UK born",TRUE,87
"24",2011,"M",0,"WBI+WHO","UK born",NA,265861
"25",2011,"M",1,"BAN","Non-UK born",FALSE,156
"26",2011,"M",1,"BAN","Non-UK born",TRUE,227
"27",2011,"M",1,"BAN","UK born",NA,4492
"28",2011,"M",1,"BLA+BLC+OBL","Non-UK born",FALSE,1387
"29",2011,"M",1,"BLA+BLC+OBL","Non-UK born",TRUE,736
"30",2011,"M",1,"BLA+BLC+OBL","UK born",NA,15263
"31",2011,"M",1,"CHI+OAS","Non-UK born",FALSE,981
"32",2011,"M",1,"CHI+OAS","Non-UK born",TRUE,900
"33",2011,"M",1,"CHI+OAS","UK born",NA,6775
"34",2011,"M",1,"IND","Non-UK born",FALSE,444
"35",2011,"M",1,"IND","Non-UK born",TRUE,467
"36",2011,"M",1,"IND","UK born",NA,9056
"37",2011,"M",1,"MIX","Non-UK born",FALSE,263
"38",2011,"M",1,"MIX","Non-UK born",TRUE,393
"39",2011,"M",1,"MIX","UK born",NA,21991
"40",2011,"M",1,"OTH","Non-UK born",FALSE,573
"41",2011,"M",1,"OTH","Non-UK born",TRUE,506
"42",2011,"M",1,"OTH","UK born",NA,4030
"43",2011,"M",1,"PAK","Non-UK born",FALSE,391
"44",2011,"M",1,"PAK","Non-UK born",TRUE,523
"45",2011,"M",1,"PAK","UK born",NA,12203
"46",2011,"M",1,"WBI+WHO","Non-UK born",FALSE,1588
"47",2011,"M",1,"WBI+WHO","Non-UK born",TRUE,491
"48",2011,"M",1,"WBI+WHO","UK born",NA,258775
"49",2011,"M",2,"BAN","Non-UK born",FALSE,140
"50",2011,"M",2,"BAN","Non-UK born",TRUE,192
"51",2011,"M",2,"BAN","UK born",NA,4559
"52",2011,"M",2,"BLA+BLC+OBL","Non-UK born",FALSE,1266
"53",2011,"M",2,"BLA+BLC+OBL","Non-UK born",TRUE,639
"54",2011,"M",2,"BLA+BLC+OBL","UK born",NA,16026
"55",2011,"M",2,"CHI+OAS","Non-UK born",FALSE,868
"56",2011,"M",2,"CHI+OAS","Non-UK born",TRUE,757
