"","CoB","ETH.group","age","sex","year","pop"
"1","Non-UK born","Bangladeshi",0,"F",2011,32
"2","Non-UK born","Bangladeshi",0,"M",2011,30
"3","Non-UK born","Bangladeshi",1,"F",2011,75
"4","Non-UK born","Bangladeshi",1,"M",2011,76
"5","Non-UK born","Bangladeshi",2,"F",2011,100
"6","Non-UK born","Bangladeshi",2,"M",2011,112
"7","Non-UK born","Bangladeshi",3,"F",2011,156
"8","Non-UK born","Bangladeshi",3,"M",2011,163
"9","Non-UK born","Bangladeshi",4,"F",2011,193
"10","Non-UK born","Bangladeshi",4,"M",2011,213
"11","Non-UK born","Bangladeshi",5,"F",2011,265
"12","Non-UK born","Bangladeshi",5,"M",2011,261
"13","Non-UK born","Bangladeshi",6,"F",2011,287
"14","Non-UK born","Bangladeshi",6,"M",2011,320
"15","Non-UK born","Bangladeshi",7,"F",2011,283
"16","Non-UK born","Bangladeshi",7,"M",2011,276
"17","Non-UK born","Bangladeshi",8,"F",2011,322
"18","Non-UK born","Bangladeshi",8,"M",2011,304
"19","Non-UK born","Bangladeshi",9,"F",2011,321
"20","Non-UK born","Bangladeshi",9,"M",2011,368
"21","Non-UK born","Bangladeshi",10,"F",2011,416
"22","Non-UK born","Bangladeshi",10,"M",2011,389
"23","Non-UK born","Bangladeshi",11,"F",2011,435
"24","Non-UK born","Bangladeshi",11,"M",2011,483
"25","Non-UK born","Bangladeshi",12,"F",2011,438
"26","Non-UK born","Bangladeshi",12,"M",2011,478
"27","Non-UK born","Bangladeshi",13,"F",2011,481
"28","Non-UK born","Bangladeshi",13,"M",2011,529
"29","Non-UK born","Bangladeshi",14,"F",2011,464
"30","Non-UK born","Bangladeshi",14,"M",2011,554
"31","Non-UK born","Bangladeshi",15,"F",2011,513
"32","Non-UK born","Bangladeshi",15,"M",2011,585
"33","Non-UK born","Bangladeshi",16,"F",2011,517
"34","Non-UK born","Bangladeshi",16,"M",2011,642
"35","Non-UK born","Bangladeshi",17,"F",2011,574
"36","Non-UK born","Bangladeshi",17,"M",2011,705
"37","Non-UK born","Bangladeshi",18,"F",2011,582
"38","Non-UK born","Bangladeshi",18,"M",2011,849
"39","Non-UK born","Bangladeshi",19,"F",2011,693
"40","Non-UK born","Bangladeshi",19,"M",2011,1162
"41","Non-UK born","Bangladeshi",20,"F",2011,815
"42","Non-UK born","Bangladeshi",20,"M",2011,1576
"43","Non-UK born","Bangladeshi",21,"F",2011,1214
"44","Non-UK born","Bangladeshi",21,"M",2011,1802
"45","Non-UK born","Bangladeshi",22,"F",2011,1712
"46","Non-UK born","Bangladeshi",22,"M",2011,1952
"47","Non-UK born","Bangladeshi",23,"F",2011,2100
"48","Non-UK born","Bangladeshi",23,"M",2011,2040
"49","Non-UK born","Bangladeshi",24,"F",2011,2292
"50","Non-UK born","Bangladeshi",24,"M",2011,2049
"51","Non-UK born","Bangladeshi",25,"F",2011,2487
"52","Non-UK born","Bangladeshi",25,"M",2011,2314
"53","Non-UK born","Bangladeshi",26,"F",2011,2757
"54","Non-UK born","Bangladeshi",26,"M",2011,2639
"55","Non-UK born","Bangladeshi",27,"F",2011,2941
"56","Non-UK born","Bangladeshi",27,"M",2011,2577
"57","Non-UK born","Bangladeshi",28,"F",2011,3096
"58","Non-UK born","Bangladeshi",28,"M",2011,2875
"59","Non-UK born","Bangladeshi",29,"F",2011,3420
"60","Non-UK born","Bangladeshi",29,"M",2011,3045
"61","Non-UK born","Bangladeshi",30,"F",2011,3378
"62","Non-UK born","Bangladeshi",30,"M",2011,3242
"63","Non-UK born","Bangladeshi",31,"F",2011,3462
"64","Non-UK born","Bangladeshi",31,"M",2011,3502
"65","Non-UK born","Bangladeshi",32,"F",2011,3244
"66","Non-UK born","Bangladeshi",32,"M",2011,3396
"67","Non-UK born","Bangladeshi",33,"F",2011,3334
"68","Non-UK born","Bangladeshi",33,"M",2011,3602
"69","Non-UK born","Bangladeshi",34,"F",2011,3522
"70","Non-UK born","Bangladeshi",34,"M",2011,3787
"71","Non-UK born","Bangladeshi",35,"F",2011,3193
"72","Non-UK born","Bangladeshi",35,"M",2011,3749
"73","Non-UK born","Bangladeshi",36,"F",2011,3338
"74","Non-UK born","Bangladeshi",36,"M",2011,3716
"75","Non-UK born","Bangladeshi",37,"F",2011,3215
"76","Non-UK born","Bangladeshi",37,"M",2011,3973
"77","Non-UK born","Bangladeshi",38,"F",2011,2578
"78","Non-UK born","Bangladeshi",38,"M",2011,3130
